pandaid,IObytesRead,IObytesReadRate,IObytesWritten,IObytesWriteRate,inputfilebytes,hs06sec,maxrss,maxvmem,timeStageIn,timeStageOut,wall_time,cpuconsumptiontime,computingsite,workDirSize
3949315186,424232,3503335,367556,3035301,336250181,4501,265340,1234412,148,15,451,73,BNL_PROD,679936
3949315187,427144,7054765,367612,6071527,336309953,3503,81784,527740,148,14,351,59,BNL_PROD,679936
3949315188,371880,3071009,367280,3033021,336044899,4501,264548,1233104,147,21,451,74,BNL_PROD,675840
3949315191,284032,4544512,325804,5212864,336725774,3673,266144,1234404,153,15,368,74,BNL_PROD,675840
3949315194,394344,6513036,365112,6030236,333772271,4252,240740,968316,234,14,426,63,BNL_PROD,679936
3949315195,465536,3875681,367040,3055682,335738582,4282,266052,1234404,155,17,429,75,BNL_PROD,684032
3949288419,302156,4911234,299344,4865527,336963354,3080,266728,1346128,27,9,274,82,DESY-HH_UCORE,684032
3949904592,415636,1137998,368724,1009554,337486114,8566,266324,1346116,88,21,762,297,DESY-HH_UCORE,700416
3949315071,450364,2453046,365620,1991462,334349955,4587,245468,1346112,43,10,408,103,DESY-HH_UCORE,675840
3949315078,327268,2702600,368176,3040421,337083125,4508,265820,1345096,47,11,401,99,DESY-HH_UCORE,684032
3949315089,512876,4201480,366128,2999320,334877802,3631,202476,1345196,37,11,323,100,DESY-HH_UCORE,667648
3949315098,359228,2966528,296512,2448615,335042838,4688,207144,1346108,34,10,417,108,DESY-HH_UCORE,671744
3949315122,304312,4946277,330156,5366345,335026073,3271,246056,1346120,26,7,291,81,DESY-HH_UCORE,671744
3949315130,299676,2474743,199488,1647384,337736019,3676,265528,1345112,33,8,327,87,DESY-HH_UCORE,675840
3949315150,269276,4447397,270544,4468339,337547775,3882,266172,1234404,88,15,389,74,BNL_PROD,692224
3949315153,395052,3288888,368792,3070268,337574169,4192,283060,1258888,145,13,420,68,BNL_PROD,679936
3949315161,313400,5176154,345428,5705133,338022877,4302,265836,1234404,176,24,431,72,BNL_PROD,688128
3949315162,401612,3316537,367676,3036292,336368690,4691,288636,1274140,204,19,470,68,BNL_PROD,692224
3949315170,272568,2250884,360132,2973993,335462229,5949,266672,1235428,231,18,596,71,BNL_PROD,688128
3949315185,304340,5026518,299100,4939974,336946801,4561,266092,1234400,168,27,457,83,BNL_PROD,684032
3949315189,265828,2213072,356136,2964904,336550305,4631,266168,1234408,141,13,464,65,BNL_PROD,675840
3949315196,406928,3387758,365524,3043061,334195047,4491,266220,1233472,152,15,450,79,BNL_PROD,684032
3949288422,302608,4997912,300716,4966664,335097411,3001,266888,1346080,27,6,267,76,DESY-HH_UCORE,675840
3949288423,306648,2453184,364908,2919264,333754633,4305,265380,1345104,35,10,383,101,DESY-HH_UCORE,679936
3949372603,407580,3365821,367660,3036160,336406697,4302,265092,1233384,162,17,431,76,BNL_PROD,692224
3949372611,397356,2199419,365612,2023711,334283147,4332,266020,1234400,97,15,434,74,BNL_PROD,688128
3949372612,306324,4978980,180572,2935011,336559092,4471,265368,1234404,157,17,448,79,BNL_PROD,684032
3949372613,266580,2219332,365312,3041296,334082836,4970,262592,1234404,200,15,498,67,BNL_PROD,688128
3949372614,307676,5081616,268012,4426520,336494206,4112,266168,1234408,177,24,412,85,BNL_PROD,684032
3949304949,444684,2422108,368072,2004817,336814797,4901,266312,1346132,54,15,436,89,DESY-HH_UCORE,688128
3949304959,443720,437314,368708,363384,337419846,20844,284412,1371452,193,51,1854,557,DESY-HH_UCORE,741376
3949304960,301684,4982651,347320,5736381,334578858,2923,267640,1347228,23,5,260,77,DESY-HH_UCORE,671744
3949304973,359288,1936373,368556,1986322,337333458,6262,259496,1345084,65,9,557,89,DESY-HH_UCORE,696320
3949304978,301732,1661148,367140,2021243,336305867,5834,267212,1347136,57,15,519,113,DESY-HH_UCORE,704512
3949304995,308792,5100048,316984,5235348,335237536,2956,266852,1346128,27,8,263,79,DESY-HH_UCORE,684032
3949305012,409384,3408205,366064,3047557,334722727,4102,266216,1234404,147,13,411,68,BNL_PROD,684032
3949305013,263396,2192825,367228,3057247,336255461,4092,266180,1234388,143,14,410,64,BNL_PROD,684032
