pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
4011516311,3213212.0,458518.0,336757.0,2359936.0,3524259.0,502904.0,334399.0,2343410.0,8,340,3946640,21317256,27788092,IN2P3-CC_CL7_MCORE_HIMEM,7.207902,52906,340,0.88,0,638575,423163927,74779,2276,4284966,23451372,30288580,4464,1000,1216061661,21157,7247,7,16,7340,1858942953
4011516306,3401856.0,331761.0,237276.0,2433008.0,5985579.0,583736.0,235570.0,2415512.0,8,340,4049184,21951606,28647718,IN2P3-CC_CL7_MCORE_HIMEM,7.5832314,80587,340,0.98,0,924543,423163927,74779,2276,4285614,23412044,30270856,4464,1000,1223425124,21102,10532,8,16,10627,1447929833
4011515790,8861124.0,528960.0,145083.0,2430428.0,4347627.0,259529.0,287328.0,4813307.0,8,340,3103277,12965930,25272603,CERN-P1_UCORE,4.410703,77227,900,29.34,0,2365341,425256573,75149,2280,4403990,23856756,30228056,4464,1000,1221878833,24154,17246,22,77,17509,1240630610
4011515793,9713012.0,578801.0,144012.0,2416716.0,4330977.0,258084.0,285195.0,4785936.0,8,340,3081133,12538045,26231323,CERN-P1_UCORE,4.4152822,77603,900,24.68,0,2374393,425256573,75149,2280,4366667,23469848,30214224,4464,1000,1214854809,24151,17275,54,68,17576,1233560298
4011199588,2830168.0,509509.0,432840.0,2404292.0,3546445.0,638460.0,427457.0,2374392.0,8,901,4317239,21671905,27805955,FZK-LCG2,7.203318,42550,901,1.1,0,593488,424798363,0,705,4715985,23627928,30242676,4500,1000,1202695795,18251,5739,21,35,5907,1213679703
4011199593,3867612.0,622807.0,379935.0,2359384.0,3272536.0,526981.0,374958.0,2328475.0,8,901,3897525,20818863,26940110,FZK-LCG2,6.8401923,45542,901,1.23,0,668942,424798363,0,705,4446971,23487856,30241428,4500,1000,1221851491,18254,6429,32,53,6658,1232340837
4011199596,3234652.0,481156.0,354592.0,2383804.0,3404655.0,506444.0,342183.0,2300385.0,8,901,4302906,21724599,27888829,FZK-LCG2,7.259887,51400,901,0.96,0,711341,424798363,0,705,4709615,24833296,32524064,4500,1000,1227294990,18251,6905,22,31,7080,1237721088
4011199591,3666364.0,474034.0,310937.0,2404908.0,3762138.0,486417.0,306813.0,2373009.0,8,901,4342573,22005279,28306889,FZK-LCG2,7.3230243,60144,901,0.87,0,825176,424798363,0,705,4642083,23562540,30264368,4500,1000,1211170750,17898,7978,23,40,8213,1193760613
4011930562,3467424.0,490759.0,339310.0,2397376.0,3742764.0,529729.0,337002.0,2381069.0,8,340,3930446,21246479,27799445,IN2P3-CC_CL7_MCORE_HIMEM,7.216453,53510,900,1.56,1,645100,425256573,130426,2774,4282773,23348164,30259908,4471,1000,1205852210,9038,7298,8,37,7415,1635518008
4011516268,2890348.0,526078.0,435407.0,2392188.0,3157526.0,574707.0,430083.0,2362937.0,8,340,4300682,21986056,28290459,MWT2_MCORE,7.2009225,42147,340,0.66,0,499612,425612843,75212,2280,4609186,23544816,30132996,4464,1000,1220436726,4394,5678,8,24,5853,1239198986
