pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051878968,2547044.0,1848457.0,263804.0,363504.0,1.0,1100,1538965.0,1588677.0,3113307.0,0.33397192,523,1100,255.39,0,26434,20091112,0,414,2703326.0,2791948.0,4616900.0,2823,16,45894490,1563,1479,14,22,1566,28303128.0,CERN-PROD_T0_SCORE_SHORT,finished
4051878978,2290924.0,3444796.0,76494.0,50872.0,1.0,1100,1357786.0,1442902.0,2790949.0,0.5900116,508,1100,30.22,0,9393,24657468,0,427,2651322.0,2775984.0,4543352.0,2823,19,50228177,4626,753,7,21,861,13598716.0,INFN-T1-CINECA-SL7_UCORE,finished
4051878979,3277380.0,4541322.0,93903.0,67768.0,1.0,1100,1550346.0,1559384.0,2964196.0,0.62541074,571,1100,31.1,0,9960,34247768,0,453,2698372.0,2708192.0,4517896.0,2823,27,62971384,4628,783,7,18,913,53337000.0,INFN-T1-CINECA-SL7_UCORE,finished
4051878983,3208160.0,4831111.0,78390.0,52056.0,1.0,1100,1444355.0,1455475.0,2849750.0,0.6090486999999999,525,1100,26.0,0,9404,25098968,0,428,2752914.0,2762864.0,4562184.0,2823,20,51795716,4649,753,7,21,862,59962664.0,INFN-T1-CINECA-SL7_UCORE,finished
4051879028,2533376.0,1839841.0,92831.0,127824.0,1.0,1100,1716728.0,1770028.0,3316302.0,0.35079873,549,1100,269.9,0,26417,34609528,0,454,2634817.0,2716004.0,4563332.0,2823,27,63532221,1638,1489,15,24,1565,36456072.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879040,2657876.0,2114735.0,161650.0,203168.0,1.0,1100,1679290.0,1729278.0,3150804.0,0.39875174,575,1100,214.37,0,24340,36395360,0,459,2752417.0,2849544.0,4574228.0,2823,28,67153600,1685,1318,15,23,1442,13964187.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879042,2818256.0,2240601.0,96484.0,121360.0,1.0,1100,1394958.0,1424040.0,2873147.0,0.29753762,435,1100,341.97,0,24678,15479592,0,401,2577710.0,2628636.0,4537752.0,2823,12,38025017,1688,1368,15,22,1462,47602904.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879049,2792508.0,2023728.0,68214.0,94128.0,1.0,1100,1695555.0,1748917.0,3386376.0,0.48304543,755,1100,199.83,0,26383,52770500,0,505,2670061.0,2756328.0,4661228.0,2823,41,90347795,1724,1489,15,23,1563,71047484.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879053,2685992.0,1790661.0,311418.0,467128.0,1.0,1100,1613021.0,1621796.0,2880519.0,0.34551886,586,1100,303.93,0,28628,36634972,0,460,2861879.0,2871596.0,4545684.0,2823,30,67452072,1736,1560,32,23,1696,25611940.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879057,2499716.0,1975084.0,70690.0,89468.0,1.0,1100,1395573.0,1445336.0,2891078.0,0.39805827,574,1100,166.52,0,24340,33062392,0,450,2518608.0,2629788.0,4597900.0,2823,26,63495750,1753,1318,14,73,1442,13981886.0,CERN-PROD_T0_SCORE_SHORT,finished
