pandaid,IObytesRead,wall_time,cpuconsumptiontime,computingsite
3949315113,430464,385,112,DESY-HH_UCORE
3949315119,302996,317,81,DESY-HH_UCORE
3949315124,301688,280,80,DESY-HH_UCORE
3949315126,444700,523,103,DESY-HH_UCORE
3949315127,250608,320,98,DESY-HH_UCORE
3949315134,285224,266,82,DESY-HH_UCORE
3949315140,451628,386,99,DESY-HH_UCORE
3949315147,422100,388,50,BNL_PROD
3949315151,345140,422,75,BNL_PROD
3949315156,267760,455,70,BNL_PROD
3949315159,305372,368,81,BNL_PROD
3949315164,335360,527,61,BNL_PROD
3949315167,310764,302,71,BNL_PROD
3949315173,303372,443,80,BNL_PROD
3949315175,429084,461,73,BNL_PROD
3949315176,276876,414,73,BNL_PROD
3949315179,85768,343,64,BNL_PROD
3949315180,269284,289,65,BNL_PROD
3949315190,307168,487,76,BNL_PROD
3949315197,274864,390,69,BNL_PROD
3949305025,267104,516,77,BNL_PROD
3949305027,262728,446,78,BNL_PROD
3949305028,281652,491,81,BNL_PROD
3949305033,423860,469,73,BNL_PROD
3949305034,284624,357,67,BNL_PROD
3949305036,364732,260,66,DESY-HH_UCORE
3949305042,302396,319,83,DESY-HH_UCORE
3949305052,286348,384,108,DESY-HH_UCORE
3949305063,301980,213,82,DESY-HH_UCORE
3949305064,345528,275,85,DESY-HH_UCORE
3949288424,357348,495,101,DESY-HH_UCORE
3949288425,305228,383,110,DESY-HH_UCORE
3949288428,374776,519,116,DESY-HH_UCORE
3949904580,290116,291,81,DESY-HH_UCORE
3949904584,363592,398,101,DESY-HH_UCORE
3949904601,435932,351,84,DESY-HH_UCORE
